,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
344,Salekhard,66.53,66.6,29.08,98,100,19.84,RU,1602912350
345,Sabang,5.89,95.32,84.02,71,84,22.19,ID,1602912351
346,Ruidoso,33.33,-105.67,48.2,42,1,9.17,US,1602912351
347,Port Lincoln,-34.73,135.87,56.68,63,98,12.44,AU,1602912351
348,Khedbrahma,24.03,73.05,88.9,55,84,11.41,IN,1602912352
349,Puri,19.8,85.85,86.0,84,40,4.7,IN,1602912352
350,Palencia,42.42,-4.5,35.01,83,100,1.81,ES,1602912352
351,Lavrentiya,65.58,-171.0,38.75,93,100,8.68,RU,1602912353
352,Jalu,29.03,21.55,75.61,34,0,13.35,LY,1602912353
353,Labuhan,-6.88,112.21,89.6,50,86,7.49,ID,1602912353
354,Narsaq,60.92,-46.05,37.4,79,100,4.7,GL,1602912354
355,Sémbé,1.65,14.58,69.19,95,100,2.08,CG,1602912354
356,Verkhnyaya Inta,65.98,60.31,27.66,98,100,13.04,RU,1602912355
357,Nome,64.5,-165.41,39.2,86,90,27.51,US,1602912355
358,Lüderitz,-26.65,15.16,67.91,35,1,13.6,NA,1602912356
359,Maraã,-1.83,-65.37,73.47,89,30,1.7,BR,1602912356
360,Emba,48.83,58.14,57.18,36,40,14.94,KZ,1602912356
361,Bilibino,68.05,166.44,28.74,97,100,3.76,RU,1602912356
362,Sheffield,53.38,-1.47,46.99,94,89,5.88,GB,1602912357
363,Flin Flon,54.77,-101.86,23.11,92,39,8.88,CA,1602912357
364,Avera,33.19,-82.53,53.6,87,1,8.05,US,1602912358
365,Nouakchott,18.09,-15.98,82.4,42,13,13.87,MR,1602912256
366,Rocha,-34.48,-54.33,51.58,96,2,7.87,UY,1602912358
367,Mehamn,71.04,27.85,35.55,80,100,10.83,NO,1602912358
368,Pringsewu,-5.36,104.97,88.0,61,35,7.38,ID,1602912359
369,Samaná,19.21,-69.34,77.79,87,74,4.45,DO,1602912130
370,Pāsighāt,28.07,95.33,89.35,49,0,3.89,IN,1602912359
371,Río Gallegos,-51.62,-69.22,44.6,70,75,5.82,AR,1602912086
372,Ixtapa,20.7,-105.2,84.2,83,40,2.24,MX,1602912360
373,Galveston,29.37,-94.97,68.0,64,90,9.17,US,1602912360
374,Laas,46.62,10.7,42.01,100,40,5.82,IT,1602912361
375,Port Blair,11.67,92.75,83.57,75,89,13.38,IN,1602912361
376,Odienné,9.51,-7.57,70.39,93,86,1.81,CI,1602912361
377,Cidreira,-30.18,-50.21,63.64,79,1,18.7,BR,1602912361
378,Derzhavīnsk,51.1,66.32,57.42,37,100,22.62,KZ,1602912362
379,Husavik,66.04,-17.34,37.4,93,90,6.93,IS,1602912362
380,Oudtshoorn,-33.59,22.2,60.8,67,80,2.24,ZA,1602912363
381,Bo`ka,40.81,69.2,66.2,29,0,4.7,UZ,1602912363
382,Turka,49.15,23.03,46.0,96,100,11.01,UA,1602912363
383,Makīnsk,52.63,70.42,54.91,41,98,21.43,KZ,1602912364
384,Timrå,62.49,17.33,43.0,74,59,4.7,SE,1602912364
385,West Bay,19.37,-81.42,84.0,84,100,3.0,KY,1602912364
386,Rawson,-43.3,-65.1,65.44,52,0,1.21,AR,1602912365
387,Caravelas,-17.71,-39.25,72.84,85,100,10.22,BR,1602912152
388,Kloulklubed,7.04,134.26,75.2,94,90,8.05,PW,1602912249
389,Parelhas,-6.69,-36.66,69.55,85,63,11.27,BR,1602912366
390,Meulaboh,4.14,96.13,84.36,69,92,5.82,ID,1602912366
391,Harper,4.38,-7.72,77.11,85,89,4.45,LR,1602912366
392,Novikovo,51.15,37.89,47.05,84,48,9.31,RU,1602912367
393,Thanh Hoa,19.8,105.77,67.15,84,100,15.39,VN,1602912367
394,San Carlos del Zulia,9.0,-71.91,76.93,82,78,2.86,VE,1602912368
395,Hobyo,5.35,48.53,81.14,75,2,15.73,SO,1602912368
396,Kaitangata,-46.28,169.85,51.01,68,85,15.99,NZ,1602912368
397,Kahului,20.89,-156.47,82.4,65,40,5.82,US,1602912368
398,Srednekolymsk,67.45,153.68,24.93,97,84,8.88,RU,1602912369
399,Belinsky,52.96,43.42,40.12,72,52,7.63,RU,1602912369
400,Yatou,37.15,122.38,65.46,28,0,4.61,CN,1602912369
401,Namatanai,-3.67,152.43,84.47,65,100,8.03,PG,1602912370
402,Mahébourg,-20.41,57.7,77.0,69,20,6.93,MU,1602912370
403,Qingyang,37.5,121.26,67.42,27,0,5.91,CN,1602912370
404,Koygorodok,60.45,51.0,31.96,97,92,9.33,RU,1602912370
405,Kuminskiy,58.67,66.57,33.15,96,100,3.96,RU,1602912371
406,Puerto Escondido,15.85,-97.07,79.16,76,85,5.08,MX,1602912371
407,Hargeisa,9.56,44.06,75.36,33,7,1.95,SO,1602912155
408,Esim,4.87,-2.24,76.73,87,99,5.68,GH,1602912372
409,Egvekinot,66.32,-179.17,33.06,100,100,8.9,RU,1602912372
410,At-Bashi,41.17,75.81,46.42,49,0,1.88,KG,1602912372
411,Klaksvík,62.23,-6.59,44.6,81,87,13.87,FO,1602912373
412,Marabu,4.41,114.01,89.6,62,40,3.36,MY,1602912373
413,São Félix do Xingu,-6.64,-51.99,74.91,59,41,0.83,BR,1602912373
414,Chīma,30.69,76.09,82.4,51,29,2.46,IN,1602912373
415,Kasulu,-4.58,30.1,69.8,88,40,3.58,TZ,1602912374
416,Dolinsk,47.35,142.8,55.4,35,40,15.66,RU,1602912374
417,Itoman,26.12,127.67,82.4,65,20,19.46,JP,1602912374
418,Ha Giang,22.83,104.98,74.37,59,98,2.82,VN,1602912374
419,Ruwi,23.6,58.55,84.2,45,0,5.82,OM,1602912375
420,Hastings,50.86,0.57,46.0,93,98,5.82,GB,1602912375
421,Nchelenge,-9.35,28.73,75.81,52,6,4.52,ZM,1602912376
422,Lebedinyy,58.52,125.52,17.82,94,100,13.06,RU,1602912376
423,Booué,-0.09,11.94,72.01,96,100,1.68,GA,1602912377
424,Tegul'det,57.31,88.17,46.56,71,100,13.91,RU,1602912377
425,Paraopeba,-19.28,-44.4,62.6,100,75,9.17,BR,1602912377
426,Buraidah,26.33,43.98,66.2,34,0,1.48,SA,1602912378
427,Valparaíso,-33.04,-71.63,53.6,100,90,3.36,CL,1602912378
428,Juneau,58.3,-134.42,37.0,43,20,9.17,US,1602912379
429,Nadym,65.53,72.52,30.97,96,97,9.08,RU,1602912379
430,Mt. Pleasant,32.79,-79.86,66.99,100,40,13.65,US,1602912369
431,Hatillo,18.49,-66.83,75.0,93,35,7.96,PR,1602912380
432,Batticaloa,7.71,81.69,86.09,47,73,2.89,LK,1602912380
433,Katherine,-14.47,132.27,98.6,25,40,4.7,AU,1602912380
434,Buin,-33.73,-70.75,62.01,81,0,1.92,CL,1602912381
435,Dombarovskiy,50.76,59.54,56.8,37,98,20.07,RU,1602912381
436,Vao,-22.67,167.48,69.91,70,0,14.72,NC,1602912382
437,Zhezkazgan,47.8,67.71,58.32,34,44,5.19,KZ,1602912382
438,Dalby,-27.18,151.27,86.0,25,90,6.93,AU,1602912382
439,Tashara,55.52,83.51,49.24,60,86,15.68,RU,1602912383
440,Banda Aceh,5.56,95.32,88.14,56,95,16.26,ID,1602912144
441,Pandan,14.05,124.17,86.61,66,46,7.54,PH,1602912383
442,Hof,50.32,11.92,42.01,99,100,8.01,DE,1602912384
443,São Benedito do Rio Preto,-3.33,-43.53,73.71,95,7,3.2,BR,1602912384
444,Port Hedland,-20.32,118.57,91.4,33,0,18.34,AU,1602912384
445,Ketchikan,55.34,-131.65,44.6,93,75,5.82,US,1602912220
446,Darnah,32.77,22.64,81.14,31,1,28.86,LY,1602912385
447,Lloydminster,53.28,-110.0,19.4,52,20,11.41,CA,1602912222
448,Ancud,-41.87,-73.82,48.99,93,75,10.29,CL,1602912373
449,Kumano,34.34,132.59,64.4,87,75,4.7,JP,1602912386
450,Olinda,-8.01,-34.86,78.8,78,40,9.17,BR,1602912386
451,Saint-Louis,16.33,-15.0,87.13,25,0,1.14,SN,1602912387
452,Acheng,45.55,126.98,57.2,33,58,17.9,CN,1602912387
453,Dalvik,65.97,-18.53,37.4,93,90,6.93,IS,1602912388
454,Shilong,23.11,113.84,87.01,57,75,13.42,CN,1602912388
455,Kushiro,42.98,144.37,57.2,58,20,11.41,JP,1602912388
456,Dongsheng,39.82,109.98,51.78,35,0,9.42,CN,1602912389
457,Lebu,-37.62,-73.65,49.57,93,79,2.86,CL,1602912389
458,Viedma,-40.81,-63.0,73.99,54,0,7.0,AR,1602912389
459,Troitskoye,52.98,84.68,53.6,45,74,14.61,RU,1602912390
460,Bubaque,11.28,-15.83,81.82,87,86,10.2,GW,1602912390
461,Kochevo,59.6,54.31,32.88,92,100,10.89,RU,1602912390
462,Brae,60.4,-1.35,42.8,87,100,5.82,GB,1602912391
463,Kilcullen,53.13,-6.74,50.0,81,75,4.7,IE,1602912391
464,Kudahuvadhoo,2.67,72.89,82.33,78,54,15.97,MV,1602912391
465,Guna,24.65,77.32,88.52,51,0,11.7,IN,1602912391
466,Kambove,-10.88,26.6,65.1,69,8,7.25,CD,1602912392
467,Santa Luzia,-19.77,-43.85,62.6,100,75,9.17,BR,1602912392
468,Vawkavysk,53.16,24.45,39.2,86,75,8.95,BY,1602912393
469,Cervo,43.67,-7.41,44.01,1,100,7.29,ES,1602912393
470,Fortuna,40.6,-124.16,55.99,93,1,8.05,US,1602912359
471,Alofi,-19.06,-169.92,77.0,88,100,8.05,NU,1602912380
472,Bagé,-31.33,-54.11,57.2,87,0,14.99,BR,1602912394
473,Muyezerskiy,63.93,31.65,34.93,90,100,10.69,RU,1602912394
474,Ossora,59.24,163.07,38.79,72,11,10.13,RU,1602912394
475,George,-33.96,22.46,60.8,67,97,2.24,ZA,1602912395
476,Nyurba,63.28,118.33,24.71,86,19,8.55,RU,1602912395
477,Baker City,44.77,-117.83,60.8,44,75,8.05,US,1602912395
478,São José da Coroa Grande,-8.9,-35.15,75.13,85,20,8.97,BR,1602912396
479,Lodja,-3.48,23.43,69.93,96,97,1.77,CD,1602912396
480,Abu Samrah,35.3,37.18,64.22,76,0,4.45,SY,1602912396
481,Pārsābād,39.65,47.92,57.2,100,0,6.93,IR,1602912396
482,Plettenberg Bay,-34.05,23.37,66.2,62,92,7.07,ZA,1602912397
483,Leshukonskoye,64.9,45.76,30.96,97,80,6.87,RU,1602912397
484,Taltal,-25.4,-70.48,59.16,68,4,3.58,CL,1602912397
485,Mahanoro,-19.9,48.8,77.65,68,24,4.85,MG,1602912398
486,Charters Towers,-20.1,146.27,88.39,16,0,10.4,AU,1602912398
487,San Policarpo,12.18,125.51,83.98,79,70,9.46,PH,1602912398
488,Poum,-20.23,164.02,72.93,81,47,15.66,NC,1602912398
489,Vaitape,-16.52,-151.75,80.44,79,22,7.72,PF,1602912399
490,Aksu,41.12,80.26,60.69,30,0,0.94,CN,1602912399
491,Kidal,18.44,1.41,82.38,16,0,9.15,ML,1602912400
492,Kassala,15.45,36.4,84.0,35,0,4.38,SD,1602912400
493,Udachny,66.42,112.4,15.8,85,0,2.24,RU,1602912401
494,Magdagachi,53.45,125.8,32.05,86,55,11.25,RU,1602912401
495,Turukhansk,65.82,87.98,28.96,98,100,17.63,RU,1602912401
496,Topolobampo,25.6,-109.05,82.99,89,0,5.01,MX,1602912401
497,Los Llanos de Aridane,28.66,-17.92,68.0,77,99,8.05,ES,1602912402
498,Hambantota,6.12,81.12,87.8,62,75,10.29,LK,1602912402
499,Helena,46.59,-112.04,48.99,65,90,20.8,US,1602912403
500,Bay Roberts,47.6,-53.26,46.4,100,5,3.36,CA,1602912403
501,Mount Gambier,-37.83,140.77,57.2,71,40,16.11,AU,1602912403
502,Bisira,8.52,-81.71,57.92,100,100,3.4,PA,1602912403
503,Vinh,18.67,105.67,68.38,89,100,21.34,VN,1602912404
504,Bandarbeyla,9.49,50.81,81.5,73,0,17.25,SO,1602912404
505,Makkah al Mukarramah,21.43,39.83,90.48,11,0,5.39,SA,1602912404
506,Batemans Bay,-35.72,150.18,71.01,69,100,4.0,AU,1602912404
507,Roald,62.58,6.13,44.6,87,75,12.75,NO,1602912405
508,Henties Bay,-22.12,14.28,57.0,94,20,3.0,NA,1602912405
509,Arroyo de la Encomienda,41.61,-4.8,35.6,80,100,4.7,ES,1602912405
510,Westport,41.14,-73.36,48.2,87,90,13.87,US,1602912406
511,Dothan,31.22,-85.39,59.0,67,1,5.82,US,1602912406
512,Olafsvik,64.89,-23.71,46.62,86,100,1.25,IS,1602912383
513,Palauig,15.44,119.9,84.65,72,80,5.39,PH,1602912407
514,Ca Mau,9.18,105.15,86.63,68,100,13.31,VN,1602912407
515,Iki-Burul,45.82,44.65,62.6,63,0,3.69,RU,1602912407
516,Yablonovo,50.85,37.36,48.2,100,75,8.95,RU,1602912407
517,Dingle,11.0,122.67,85.78,74,77,5.35,PH,1602912408
518,Cabedelo,-6.98,-34.83,75.2,94,40,3.36,BR,1602912146
519,Srandakan,-7.94,110.25,84.99,62,86,11.59,ID,1602912408
520,Maumelle,34.87,-92.4,48.0,87,90,4.16,US,1602912172
521,Pasni,25.26,63.47,83.44,27,52,25.77,PK,1602912409
522,Vila do Maio,15.13,-23.22,75.2,88,99,3.36,CV,1602912409
523,Saint Anthony,45.02,-93.22,37.99,64,1,7.83,US,1602912409
524,Hūn,29.13,15.95,76.15,26,69,2.39,LY,1602912410
525,Gushi,34.64,109.58,66.63,28,0,5.44,CN,1602912410
526,Rudraprayāg,30.28,78.98,85.95,21,1,0.72,IN,1602912410
527,Fairbanks,64.84,-147.72,17.6,78,75,5.82,US,1602912395
528,Balyqshy,47.07,51.87,59.0,67,58,11.18,KZ,1602912411
529,Vestmanna,62.16,-7.17,44.6,81,80,13.87,FO,1602912411
530,Sovetskiy,61.36,63.58,33.15,87,67,8.57,RU,1602912411
531,Grand Gaube,-20.01,57.66,80.01,61,1,8.99,MU,1602912412
532,Laela,-8.57,32.05,67.48,65,28,4.76,TZ,1602912412
533,Assaré,-6.87,-39.88,64.65,85,19,3.36,BR,1602912412
534,Kingman,35.19,-114.05,71.01,14,1,11.41,US,1602912413
535,Fayetteville,35.05,-78.88,55.4,76,75,10.29,US,1602912158
536,Bilma,18.69,12.92,82.11,18,0,6.82,NE,1602912413
537,Ýpsonas,34.69,32.96,68.0,77,20,2.24,CY,1602912414
538,Paamiut,61.99,-49.67,43.2,78,100,39.57,GL,1602912414
539,Alyangula,-13.85,136.42,89.6,49,90,9.17,AU,1602912414
540,Borogontsy,62.67,131.17,21.11,95,100,5.88,RU,1602912415
541,Teguise,29.06,-13.56,66.2,77,20,6.93,ES,1602912415
542,Senno,59.53,33.92,35.91,93,94,5.37,RU,1602912415
543,Mukhen,48.1,136.1,47.68,51,34,12.15,RU,1602912416
544,Nianzishan,47.52,122.88,51.44,44,100,17.94,CN,1602912416
545,Tadine,-21.55,167.88,72.28,70,25,14.54,NC,1602912417
546,Qasigiannguit,68.82,-51.19,48.2,61,100,14.99,GL,1602912417
547,Cukai,4.25,103.42,91.0,70,20,8.05,MY,1602912417
548,Villa Luvianos,18.92,-100.4,60.42,98,86,4.59,MX,1602912418
549,Berbérati,4.26,15.79,67.08,97,89,1.23,CF,1602912418
550,Ambon City,-3.7,128.18,87.8,62,40,6.93,ID,1602912418
551,Mananjary,-21.22,48.33,78.35,69,30,0.87,MG,1602912419
552,Annau,37.89,58.52,66.2,22,0,2.24,TM,1602912419
553,Baykit,61.67,96.37,29.1,95,100,7.09,RU,1602912419
554,Florianópolis,-27.61,-48.5,62.6,88,13,5.82,BR,1602912227
555,Goderich,43.75,-81.72,42.01,91,66,7.0,CA,1602912420
556,Mackay,-21.15,149.2,80.6,51,0,16.11,AU,1602912420
557,Samarai,-10.62,150.67,79.45,84,13,12.08,PG,1602912188
558,Wanning,18.8,110.4,78.82,86,100,21.59,CN,1602912421
559,Temerloh,3.45,102.42,93.27,47,87,4.88,MY,1602912416
560,North Myrtle Beach,33.82,-78.68,60.8,87,75,6.93,US,1602912422
561,Arlit,18.74,7.39,85.73,15,0,6.24,NE,1602912422
562,Vila Praia de Âncora,41.81,-8.85,57.0,81,75,10.29,PT,1602912422
563,Acajutla,13.59,-89.83,69.01,100,100,3.74,SV,1602912423
564,Emporia,38.4,-96.18,50.0,46,1,11.41,US,1602912423
565,Tual,-5.67,132.75,81.28,78,100,12.37,ID,1602912424
566,Lakes Entrance,-37.88,147.98,68.0,78,100,3.0,AU,1602912424
567,Whitefish,48.41,-114.34,45.0,100,90,5.82,US,1602912424
568,Kumul,42.8,93.45,59.43,27,0,6.62,CN,1602912425
569,Verkhnevilyuysk,63.45,120.32,23.68,87,49,9.15,RU,1602912425
570,Bahía Solano,6.23,-77.4,78.73,84,100,4.54,CO,1602912426
571,Chase,50.82,-119.69,48.2,78,75,12.75,CA,1602912426
572,Norsup,-16.07,167.38,80.6,74,75,6.93,VU,1602912426
573,General Pico,-35.66,-63.76,67.23,55,0,11.56,AR,1602912426
574,Saquisilí,-0.83,-78.67,50.34,78,81,6.89,EC,1602912427
575,Chambas,22.19,-78.91,80.6,88,72,3.36,CU,1602912427
576,Riyadh,24.69,46.72,75.2,31,0,1.77,SA,1602912235
577,Huambo,-12.78,15.74,61.59,92,72,1.34,AO,1602912428
578,Port-Gentil,-0.72,8.78,78.8,83,90,6.93,GA,1602912428
579,Ust'-Koksa,50.27,85.61,44.24,57,79,1.61,RU,1602912429
580,Maţāy,28.42,30.78,65.97,80,0,12.91,EG,1602912429
581,Presque Isle,46.68,-68.02,50.0,100,90,4.7,US,1602912429
582,Kropotkin,45.44,40.58,63.66,63,0,3.02,RU,1602912429
583,Beringovskiy,63.05,179.32,37.56,79,84,5.99,RU,1602912430
584,Balabac,7.99,117.06,82.33,76,98,7.38,PH,1602912430
585,Leningori,42.13,44.48,59.0,72,0,4.7,GE,1602912430
586,Yako,12.97,-2.27,81.34,51,38,6.93,BF,1602912431
587,Igis,46.95,9.57,39.99,97,100,2.55,CH,1602912431
588,Waterford,42.7,-83.4,41.0,63,75,3.36,US,1602912431
589,Nuevo Emperador,9.0,-79.73,80.6,88,82,5.82,PA,1602912432
590,Akdepe,42.06,59.38,60.8,38,0,2.24,TM,1602912432
591,Worland,44.02,-107.96,51.8,43,90,8.05,US,1602912432
592,Alvor,37.13,-8.59,51.8,76,20,2.24,PT,1602912433
593,Deurne,51.21,4.47,43.0,93,75,2.28,BE,1602912433
594,Washougal,45.58,-122.35,60.01,90,100,1.01,US,1602912434
595,Saint-Joseph,-21.37,55.62,78.8,65,2,9.17,RE,1602912434
596,Tørring,55.85,9.48,45.0,100,53,3.36,DK,1602912434
597,Paita,-5.09,-81.11,63.75,84,52,8.19,PE,1602912434
598,Okulovka,58.4,33.29,31.33,98,0,5.14,RU,1602912435
599,Krasnovishersk,60.41,57.08,31.48,97,100,6.49,RU,1602912435
600,Basco,20.45,121.97,80.92,77,35,21.79,PH,1602912435
601,Shingū,33.73,135.98,57.2,100,75,2.24,JP,1602912436
602,Kovdor,67.57,30.48,30.27,99,100,6.29,RU,1602912436
603,Greymouth,-42.47,171.2,51.87,83,99,8.3,NZ,1602912436
604,Kenai,60.55,-151.26,36.0,63,1,4.7,US,1602912433
605,Christchurch,-43.53,172.63,53.01,66,43,14.99,NZ,1602912437
606,Kalevala,65.2,31.17,36.01,93,100,7.87,RU,1602912437
607,Cururupu,-1.83,-44.87,75.65,89,32,4.05,BR,1602912319
608,Iracoubo,5.48,-53.2,78.46,81,24,10.16,GF,1602912438
609,Jinchang,38.5,102.17,55.45,30,76,9.48,CN,1602912438
610,Yavaros,26.7,-109.52,81.0,70,0,4.0,MX,1602912439
611,Saint-Augustin,51.23,-58.65,46.33,92,29,4.74,CA,1602912439
612,Oshakati,-17.78,15.68,73.4,26,56,4.7,NA,1602912312
613,Faya,18.39,42.45,64.4,23,0,3.36,SA,1602912439
614,Española,35.99,-106.08,53.6,22,1,6.17,US,1602912440
615,Seoul,37.57,126.98,66.2,27,1,4.7,KR,1602912354
616,Tutóia,-2.76,-42.27,78.42,81,23,9.6,BR,1602912440
617,Hyères,43.12,6.12,48.2,81,0,3.36,FR,1602912440
618,Snezhnogorsk,69.19,33.25,24.8,100,40,2.24,RU,1602912441
619,Gerāsh,27.67,54.14,69.8,28,0,2.44,IR,1602912441
620,Estevan,49.13,-102.98,32.0,77,90,5.82,CA,1602912442
621,Sirte,31.21,16.59,75.24,85,87,12.48,LY,1602912309
622,Belyy Yar,53.6,91.39,55.4,47,61,17.9,RU,1602912442
623,Digby,44.62,-65.77,55.0,88,99,1.01,CA,1602912356
624,Cabadiangan,9.75,122.47,85.06,72,38,7.87,PH,1602912443
625,St. George's,12.06,-61.75,82.4,83,20,10.29,GD,1602912443
626,Ashland,40.82,-82.27,35.6,80,1,4.7,US,1602912242
627,Pisco,-13.7,-76.22,63.0,88,12,10.29,PE,1602912444
628,Grindavik,63.84,-22.43,41.0,100,100,4.7,IS,1602912444
629,Lodeynoye Pole,60.73,33.55,33.66,92,22,3.71,RU,1602912445
630,Jambi City,-1.6,103.62,93.09,50,99,4.0,ID,1602912445
631,Morshansk,53.44,41.81,38.46,83,2,4.18,RU,1602912445
632,Kumba,4.64,9.45,71.31,96,100,2.21,CM,1602912446
633,Kibala,9.11,18.35,73.4,94,62,3.76,TD,1602912446
634,Brockville,44.58,-75.68,37.99,73,1,4.41,CA,1602912447
635,Antofagasta,-23.65,-70.4,59.0,77,90,4.7,CL,1602912447
636,Yüksekova,37.57,44.29,44.6,56,0,2.46,TR,1602912448
637,Honāvar,14.28,74.45,83.55,69,13,8.08,IN,1602912448
638,Tabas,33.6,56.92,68.0,12,0,1.12,IR,1602912449
639,Camalú,30.85,-116.07,69.53,72,16,4.16,MX,1602912449
640,Tianpeng,30.99,103.94,62.6,63,40,4.47,CN,1602912449
641,Kavaratti,10.57,72.64,84.2,74,40,5.82,IN,1602912450
642,Mahon,39.89,4.27,57.2,82,40,8.05,ES,1602912450
643,Mayumba,-3.43,10.66,76.1,87,100,6.17,GA,1602912450
644,Aguililla,18.73,-102.73,67.32,86,96,4.09,MX,1602912450
645,Baghdad,33.34,44.4,73.4,35,0,8.05,IQ,1602912274
646,Newtonmore,57.07,-4.12,44.01,93,75,3.36,GB,1602912451
647,Comodoro Rivadavia,-45.87,-67.5,62.6,36,26,10.29,AR,1602912451
648,Stonewall,50.13,-97.33,25.0,62,40,5.82,CA,1602912452
649,Panama City,8.99,-79.52,80.6,88,96,5.82,PA,1602912186
650,Pedasí,7.53,-80.03,79.7,84,14,5.21,PA,1602912452
651,Anadyr,64.75,177.48,35.6,80,40,4.47,RU,1602912453
652,Aykhal,66.0,111.5,15.8,85,0,2.24,RU,1602912453
653,Volary,48.91,13.89,39.99,86,100,3.18,CZ,1602912453
654,Keti Bandar,24.14,67.45,92.97,19,28,17.11,PK,1602912453
655,Kangaatsiaq,68.31,-53.46,42.39,79,100,21.36,GL,1602912454
656,Marsá Maţrūḩ,31.35,27.25,68.0,60,12,7.54,EG,1602912454
657,Taguatinga,-12.39,-46.57,80.74,25,2,2.39,BR,1602912455
658,Biltine,14.53,20.92,79.41,19,30,3.69,TD,1602912455
659,Sa Kaeo,13.75,102.33,80.58,86,100,8.72,TH,1602912455
660,Jiangyou,31.77,104.72,62.19,64,94,2.33,CN,1602912455
661,Ardakān,32.31,54.02,59.0,13,0,4.7,IR,1602912456
662,Altamira,-3.2,-52.21,73.89,92,7,4.38,BR,1602912456
663,Torata,-17.08,-70.84,56.41,48,42,1.97,PE,1602912456
664,Horki,54.29,30.98,35.6,89,75,6.71,BY,1602912457
665,Jaumave,23.42,-99.38,69.01,64,71,1.99,MX,1602912457
666,Katobu,-4.94,122.53,92.52,42,61,1.7,ID,1602912457
667,Kérouané,9.27,-9.02,68.58,90,88,3.18,GN,1602912457
668,Morondava,-20.28,44.28,75.27,64,0,2.59,MG,1602912458
669,Methóni,36.82,21.7,75.0,77,75,9.17,GR,1602912289
670,Coquimbo,-29.95,-71.34,50.0,93,1,3.36,CL,1602912458
671,Palm Coast,29.59,-81.21,75.99,94,1,5.44,US,1602912459
672,St. Pete Beach,27.73,-82.74,79.0,1,100,13.58,US,1602912459
673,Newport,51.59,-3.0,50.0,94,59,9.91,GB,1602912459
674,Kiunga,-6.12,141.29,89.42,55,80,3.29,PG,1602912459
675,Iguaí,-14.76,-40.09,65.68,92,14,2.37,BR,1602912289
676,Worthington,40.09,-83.02,37.99,74,1,3.36,US,1602912460
677,Mwinilunga,-11.74,24.43,66.58,63,0,5.99,ZM,1602912460
678,Petrovsk-Zabaykal'skiy,51.27,108.84,36.03,67,93,10.45,RU,1602912461
679,Kiruna,67.86,20.23,37.4,86,87,6.93,SE,1602912461
680,Bela,25.93,81.98,91.35,48,0,2.8,IN,1602912461
681,Vylkove,45.4,29.59,64.76,77,97,10.87,UA,1602912461
682,Puerto Carreño,6.19,-67.49,76.57,90,67,3.11,CO,1602912462
683,Deputatsky,69.3,139.9,13.33,96,100,11.01,RU,1602912462
684,Shakawe,-18.37,21.85,66.58,35,25,5.26,BW,1602912462
685,Lerwick,60.15,-1.15,42.8,87,100,5.82,GB,1602912463
686,Eyl,7.98,49.82,83.12,67,56,13.78,SO,1602912463
687,Olavarría,-36.89,-60.32,59.0,91,0,4.0,AR,1602912463
688,Kamalpur,24.2,91.83,93.2,63,40,2.24,IN,1602912463
689,Matveyevka,52.15,56.18,55.4,66,40,11.18,RU,1602912464
690,Bintulu,3.17,113.03,91.4,66,40,2.24,MY,1602912464
691,Ust-Nera,64.57,143.2,17.11,88,100,7.18,RU,1602912464
692,Nīlēshwar,12.25,75.1,84.2,89,20,3.36,IN,1602912465
